French,English
partie,part
histoire,history
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
